fold_month,fold_start,fold_end,horizon,n_test,rmse_xgb,rmse_persistence,skill
2021-03,2021-03-01,2021-03-31,1,31,9.141844311629589,6.00537393748568,-0.5222772814472034
2021-03,2021-03-01,2021-03-31,2,31,10.47799890673451,9.058946745015794,-0.15664648459264585
2021-03,2021-03-01,2021-03-31,3,31,7.349637954840626,10.256390612057283,0.28340892689866115
2021-03,2021-03-01,2021-03-31,4,31,22.322693355379524,11.206277042858183,-0.9919812146359428
2021-03,2021-03-01,2021-03-31,5,31,15.541522918493506,11.730852621434064,-0.3248417161167607
2021-03,2021-03-01,2021-03-31,6,31,19.348666472261446,11.821249319926848,-0.6367700188545875
2021-03,2021-03-01,2021-03-31,7,31,12.560310377618295,11.138425208665373,-0.12765585280823522
2021-04,2021-04-01,2021-04-30,1,28,6.649183843858395,4.238429628327657,-0.5687847686365719
2021-04,2021-04-01,2021-04-30,2,28,6.209614539006963,5.486997617745324,-0.13169623382460505
2021-04,2021-04-01,2021-04-30,3,28,5.1068075533822235,5.716517421347671,0.10665757191407421
2021-04,2021-04-01,2021-04-30,4,28,5.818291646433727,4.902623204542063,-0.1867711230680218
2021-04,2021-04-01,2021-04-30,5,28,8.528993534435163,4.6942213716136445,-0.8169133620350142
2021-04,2021-04-01,2021-04-30,6,28,6.257915469015075,5.800246300189083,-0.07890512663420401
2021-04,2021-04-01,2021-04-30,7,28,7.182338772513771,6.417053173269755,-0.11925810470634923
2021-05,2021-05-01,2021-05-31,1,31,5.357241515520898,4.898979485566356,-0.09354234515672077
2021-05,2021-05-01,2021-05-31,2,31,4.7764982799075755,5.180609006421866,0.07800448287322137
2021-05,2021-05-01,2021-05-31,3,31,4.740812899483061,5.340049534625879,0.11221555741332645
2021-05,2021-05-01,2021-05-31,4,31,4.83993291413043,5.866801073729165,0.17503033538957502
2021-05,2021-05-01,2021-05-31,5,31,4.444736078709289,6.098651358054236,0.27119361023330024
2021-05,2021-05-01,2021-05-31,6,31,4.446757868388874,6.672040844618539,0.3335235841705778
2021-05,2021-05-01,2021-05-31,7,31,4.825780220559988,6.07480253230108,0.20560706378516203
2021-06,2021-06-01,2021-06-30,1,29,4.44126426441144,3.107277331329327,-0.4293105477364709
2021-06,2021-06-01,2021-06-30,2,29,4.0357924815936705,4.254814716983816,0.05147632739820163
