fold_month,fold_start,fold_end,horizon,n_origins_valid,rmse_sarima,rmse_persistence,skill
2021-03,2021-03-01,2021-03-31,2,31,7.109305534891465,9.058946745015794,0.2152172062604315
2021-03,2021-03-01,2021-03-31,3,31,6.4423337461700045,10.256390612057283,0.3718712566781067
2021-03,2021-03-01,2021-03-31,4,31,6.189573006545941,11.206277042858183,0.4476691069769164
2021-03,2021-03-01,2021-03-31,5,31,6.108343441110583,11.730852621434064,0.47929245739992465
2021-03,2021-03-01,2021-03-31,6,31,6.259824421542785,11.821249319926848,0.4704599952061985
2021-03,2021-03-01,2021-03-31,7,31,6.020714777220091,11.138425208665373,0.45946445171296313
2021-04,2021-04-01,2021-04-30,1,27,4.530545676342176,4.299009360478467,-0.05385806274167759
2021-04,2021-04-01,2021-04-30,2,26,5.806437800322225,5.66025278043848,-0.02582658859140574
2021-04,2021-04-01,2021-04-30,3,26,6.187426328512136,5.912828296301057,-0.04644106313434837
2021-04,2021-04-01,2021-04-30,4,26,6.609288641745039,5.095246653650681,-0.2971479284539771
2021-04,2021-04-01,2021-04-30,5,26,6.7576540207051785,4.783786720226497,-0.41261607507142894
2021-04,2021-04-01,2021-04-30,6,26,6.614439636100401,5.817744738827396,-0.1369422229813375
2021-04,2021-04-01,2021-04-30,7,26,6.6389180807523696,6.495560614166239,-0.022070068328433612
2021-05,2021-05-01,2021-05-31,1,31,4.406522638086478,4.898979485566356,0.10052233305544178
2021-05,2021-05-01,2021-05-31,2,31,4.387437664259637,5.180609006421866,0.1531038804856758
2021-05,2021-05-01,2021-05-31,3,31,4.38787135441038,5.340049534625879,0.17830886662031842
2021-05,2021-05-01,2021-05-31,4,31,4.294911242114219,5.866801073729165,0.26792962840579004
2021-05,2021-05-01,2021-05-31,5,31,4.258418643517389,6.098651358054236,0.3017442064640288
2021-05,2021-05-01,2021-05-31,6,31,4.496980853944872,6.672040844618539,0.32599620435897103
2021-05,2021-05-01,2021-05-31,7,31,4.526712109524828,6.07480253230108,0.2548379827236704
2021-06,2021-06-01,2021-06-30,1,28,3.144859987341274,3.111040248626081,-0.010870877909769483
2021-06,2021-06-01,2021-06-30,2,27,3.6268426852724986,4.158881616047312,0.12792836629970583
2021-06,2021-06-01,2021-06-30,3,27,3.7336675547531866,4.488668861494257,0.1682016049831161
2021-06,2021-06-01,2021-06-30,4,27,3.8238680146962896,4.8914134895678085,0.2182488716499501
2021-06,2021-06-01,2021-06-30,5,27,3.8184043279693016,4.864839839775475,0.21510173947565536
2021-06,2021-06-01,2021-06-30,6,26,3.578944886368545,5.049752469181039,0.29126330286265045
2021-06,2021-06-01,2021-06-30,7,26,4.345362270618883,5.166459880063687,0.15892847878549343
2021-07,2021-07-01,2021-07-31,1,26,13.980700115598818,17.82284618555202,0.21557421468787707
2021-07,2021-07-01,2021-07-31,2,26,13.455690490692431,18.422394398791255,0.2696014318543035
2021-07,2021-07-01,2021-07-31,3,25,13.626446038513377,19.872594194015033,0.31430965149898693
2021-07,2021-07-01,2021-07-31,4,25,13.322184845424303,19.19166485743225,0.3058348535997337
2021-07,2021-07-01,2021-07-31,5,24,13.307879184582802,19.558672415751197,0.3195918975632742
2021-07,2021-07-01,2021-07-31,6,24,13.170308426380215,17.416467303484175,0.24380138653345118
2021-07,2021-07-01,2021-07-31,7,24,4.632620982914183,14.42942595300774,0.6789462728454185
2021-08,2021-08-01,2021-08-31,1,25,17.31121974939952,20.452872658871172,0.15360448196547105
2021-08,2021-08-01,2021-08-31,2,25,19.19300458090396,25.295849461917662,0.24125874445139306
2021-08,2021-08-01,2021-08-31,3,25,18.258030504053362,22.640671368137475,0.19357380321556472
2021-08,2021-08-01,2021-08-31,4,27,14.678185729305023,19.27769772637878,0.23859239118476172
2021-08,2021-08-01,2021-08-31,5,27,15.814499669881398,21.93086781144246,0.2788931196954203
2021-08,2021-08-01,2021-08-31,6,27,18.33802873694498,25.323828626341164,0.2758587570810578
2021-08,2021-08-01,2021-08-31,7,26,17.39013990521849,25.340754648467875,0.31374814418678276
2021-09,2021-09-01,2021-09-30,1,26,6.110826660016887,6.400120191179105,0.045201265370130694
2021-09,2021-09-01,2021-09-30,2,25,7.12637890238489,8.651011501552867,0.17623749533731448
2021-09,2021-09-01,2021-09-30,3,24,8.086153754309338,10.6907280699991,0.24362927376282817
2021-09,2021-09-01,2021-09-30,4,24,8.524374960899067,11.32843031197762,0.24752373222562063
2021-09,2021-09-01,2021-09-30,5,24,7.951001378542558,12.355835328567093,0.3564982725077612
2021-09,2021-09-01,2021-09-30,6,24,7.628061482317875,10.835897132525146,0.29603784633379326
